such as,様に
Edit Time Slots,編集タイムスロット
Something went wrong while delete time slots.' .,タイムスロットを削除中に問題が発生しました」 
To time must greater than From time,時間からよりも時間にしなければならない大きいです
This appointed time slot is exist,スロットが存在しているこの定刻
The time slots has been saved.,タイムスロットが保存されました
Something went wrong while saving the time slots.' .,タイムスロットを保存中に問題が発生しました」 
Time input is invalid (00:00 -> 23:59),時間入力が無効である（午前0時 - >午後11時59分）
Manage Temp Return,一時リターンを管理します
Add New Return,新しいリターンを追加
Delete Return,リターンを削除します
Reset,リセット
Save Return,保存に戻ります
Customer Address,顧客の住所
Home Phone Number,電話番号
Are you sure delete these item(s)?,これらの項目（複数可）を削除していますか？
Are you sure reject these item(s)?,必ずこれらの項目（複数可）を拒否していますか？
Are you sure approve these item(s)?,これらの項目を（s）承認されていますか？
Are you sure close these item(s)?,これらの項目を（s）閉じていますか？
The return has been deleted.,リターンが削除されました
We can\'t delete this return right now., 'tは今このリターンを削除する\ことができます
Edit Temp Return  #%1,編集一時戻り＃%1
New Temp Return,新しい一時戻ります
Create Temp Return,一時リターンを作成します
Temp Return,一時戻ります
Temp Returns,一時戻り値
Manage Temp Returns,一時戻り値を管理します
Please select one or more return.,一つ以上のリターンを選択してください
Item width ID = %1 unable to change status to “%2”. Item must be status [%3] before change status to “%4”,"アイテムの幅ID =%1ができませんが ""%2""のステータスを変更しますアイテムは「%4」に変更状態前の状態[%3]でなければなりません"
"Unable change status to %1, must be status [%2] first!",%1にできません変更ステータスは第1の状態[%2]でなければなりません！
You saved the return.,リターンを保存しました
Something went wrong while saving the return.,リターンの保存中に問題が発生しました
Requested,要求されました
Closed,閉まっている
Piece,個
Case,ケース
Unable to remove comment %1,コメント%1を削除できません
Unable to save comment %1,コメント%1を保存することができません
Remove %1,%1を削除
Add New %1,新しい%1を追加します
New %1,新しい%1
Export CSV,エクスポートCSV
"Changing address information will not recalculate shipping, tax or other order amount.",アドレス情報を変更すると出荷税または他の注文金額を再計算しません
Have to,する必要がある
Example: home,例：ホーム
※ Please note that the selected items in the delivery setting at the time of your order.,※ことをご注文時の配信設定で選択した項目に注意してください
Find address,アドレスを探します
"Please select a region, state or province.",地域都道府県を選択してください
Country,国
Address Type,アドレスタイプ
Home,本人
Company,会社
Default Billing Address,デフォルトの請求先住所
Use as my default billing address,私のデフォルトの請求先住所として使用します
Default Shipping Address,デフォルトの配送先住所
Use as my default shipping address,私のデフォルトの配送先住所として使用します
Transmission,送信
Only Katakana,カタカナのみ
Only Hiragana,ひらがなのみ
Both,どちらも
Round,円形
Ceil,CEIL
Floor,床
Contact Information,連絡先
Fax,ファックス
Zip/Postal Code,郵便番号（半角数字）
State/Province,都道府県
City,市区町村（全角）
VAT Number,VAT番号
It's a default billing address.,これはデフォルトの請求先住所です
It's a default shipping address.,これはデフォルトの配送先住所です
Personal Information,個人情報
Sign Up for Newsletter,ニュースレターのお申込み
Sign-in Information,サインイン情報
Password,パスワード
Confirm Password,パスワードを認証する
Create an Account,アカウントを作成する
Order placed before multistock initialization,注文multistockの初期化の前に置か
unassigned,割り当てられていません
partialy unassigned,partialy割り当てられていません
No assignation required,いいえ割り当ては必要ありません
Stock Movement Journal,株価の動きジャーナル
Date/Time,日付時刻
User,ユーザー
Context,コンテキスト
Reference,参照
Details,細部
Purge,パージ
Manage Permissions,権限の管理
Save all changes,すべての変更を保存
Inventory Settings,インベントリの設定
Stock Management,在庫管理
Assignation method,割り当て方法
Assignation rules,割り当てルール
Order notifications,注文の通知
Low stock notification feed,低在庫通知フィード
Default settings for products,製品の既定の設定
Quantity management,量管理
Use config setting for backorders,バックオーダーのためのコンフィグ設定を使用します
Backorders status,バックオーダーステータス
No backorders,いいえバックオーダーはありません
Allow Qty below 0,0を下回る数量を許可します
Allow Qty below 0 and Notify Customer,0を下回る数量を許可し顧客に通知
Save and apply,保存して適用されます
Save and apply stock setting to all multi-stock products for this point of sale/warehouse,保存して販売/倉庫のこのポイントのすべてのマルチ入荷商品に在庫の設定を適用します
\115a\156\141\x67\145\40\123\x74\157\x63\x6bs,\ 115A 156 141 \ \ X67 \ 145 \ 40 \ 123 \ X74 \ 157 \ X63 \ x6bs \
"\123a\166\145\x20al\154 c\150\x61\156\x67\145\163""""""",
\122\x65\163\145t,\ 122 \ X65 \ 163 \ 145トン
\x4ea\155e,\ x4ea \ 155eと
\x4e\141\155\145 in\40\x25\163,\ x4e 145 \ 155 \ 141 \で\ 40 \ X25 \ 163
\124\171\x70\x65,\ 124 \ 171 \ X70 \ X65
At\x74ri\x62. S\145\x74\x20Name,\ x74ri \ X62で S \ 145 \ X74 \ x20Name
\123KU,\ 123KU
Vis\151\142\x69li\x74y,ヴィス\ 151 \ 142 \ x69li \ x74y
\x53\x74\141\x74us,\ X53 \ X74 \ 141 \ x74us
\x57\145\x62si\x74es,\ X57 \ 145 \ x62si \ x74es
\x49\156 \163\164\x6f\143\x6b,\ 143 \ x6f \ 164 \ 163 \ X49 \ 156 X6B \
"\111\x6e\40\163\164o\143\153""""""",
"""\121\x74y\x20\x66\x6f\162 "" .","「\ 121 \ x74y \ X20 \ X66 \ x6f \ 162 """
Q\164\171,171 \ 164 \ Q
\116\x6f\40\143\165\x73\164\157\155er\x20\147\162o\x75p,\ 116 \ x6f 40 \ 143 \ 157 \ 165 \ X73 \ 164 \ \ 155er \ X20 \ 147 \ 162o \ x75p
No s\164\157r\x65\x20\x76\x69\145\167,なしの\ 164 \ 157R \ X65 \ X20 \ X76 \ X69 \ 145 \ 167ありません
\101\x63ti\x6fn,\ 101 \ x63ti \ x6fn
\101cti\x6fn,\ 101cti \ x6fn
\x45\x6e\x61b\154\145\x20\155u\154\x74i\x2ds\x74oc\x6b,\ X45 \ x6e \ x61b \ 154 \ 145 \ X20 \ 155u \ 154 \ x74i \ x2ds \ x74oc \ X6B
Di\163able \155\165\x6c\x74\x69\x2dst\x6fc\153,ディ\ 163able \ 155 \ 165 \ x6c \ X74 \ X69 \ x2dst \ x6fc \ 153
Save change,変更を保存します
Enable multi-stock,マルチストックを有効にします
Disable multi-stock,マルチ在庫を無効にします
Edit product,編集製品
-,-
Backorder allowed,バックオーダー許可
X,バツ
Qty not managed,数量管理されていません
Min. qty: ,ミン数量：
Store,格納
Availability,可用性
In stock,在庫あり
units,ユニット
Backorder,バックオーダー
Find the nearest store,最寄りの店舗を探します
* Please configure the options to get the availability,*可用性を得るためのオプションを設定してください
Low Stock Products for Point of sale / Warehouse ,販売/倉庫のポイントのための低在庫製品
%1 has reached a quantity of %2.,%1は%2の量に達しています
Advanced Inventory > Stock movement journal,高度なインベントリ>在庫移動ジャーナル
Advanced Inventory,高度なインベントリ
Journal deleted.,ジャーナルは削除しました
Advanced Inventory > Manage permissions,高度なインベントリ>権限を管理します
Index updated `advancedinventory_index`,インデックス更新 `advancedinventory_index`
Error while creating advancedinventory_index,advancedinventory_indexの作成中にエラー
Stocks settings have been updated.,在庫の設定が更新されました
Inventory management disabled,在庫管理は無効
Error while updating data,エラーデータを更新しながら
Advanced Inventory > Manage stocks,高度なインベントリ>在庫を管理します
Manage stocks,在庫を管理します
Page not found.,ページが見つかりません
Manage these orders,これらの注文を管理します
Ignore,無視します
Advanced Inventory notice : `Decrease Stock When Order is Placed` must be disabled.,高度なインベントリ通知： `注文はPlaced`を無効にする必要がありますされると株価を下げます
Show stock details,在庫の詳細を表示します
The stock assignation can't be updated due to the order's status.,在庫譲渡は順を追っての状態に更新することはできません
Backorders,バックオーダー
Stock not managed,在庫が管理されていません
Run automatic assignation,自動割り当てを実行します
Warehouse (hidden),倉庫（隠されました）
Point of Sales (visible),販売のポイント（可視）
Stock management enabled,在庫管理が有効になって
Stock management disabled,在庫管理は無効
Use Config Settings,コンフィグ設定を使用
Manage POS / Warehouses users permissions,POS /倉庫のユーザーの権限を管理します
Admin User,管理ユーザー
Unassigned&nbsp;orders,割り当てられていない＆NBSP;受注
Items to Refund,払い戻しする項目
Return to Stock,株価に戻ります
Qty to Refund,払い戻しする数量
No Items To Refund,返金するアイテムいいえ
Credit Memo Comments,クレジットメモコメント
Comment Text,コメント文字列
Refund Totals,払い戻しの合計
Append Comments,コメントを追加
Email Copy of Credit Memo,クレジットメモの電子メールのコピー
Payment &amp; Shipping Method,お支払い＆＃038;配送方法
Payment Information,支払情報
The order was placed using %1.,順序は%1を使用して配置しました
Stocks Assignation,在庫の譲渡
Notes for this Order,この注文の注意事項
Disable local stocks,ローカル在庫を無効にします
Enable local stocks,地元の銘柄を有効にします
Invalid data.,無効なデータ
If nothing happens click here !,何も起こらない場合はこちらをクリック！
An error occurs while retrieving the license activation (500),ライセンスアクティベーションを取得中にエラーが発生した（500）
An error occurs while retrieving license activation (404).,ライセンスアクティベーション（404）を取得中にエラーが発生します
Invalid activation key.,無効なアクティベーションキー
Scheduler is working. (Last cron task: %1 minute(s) ago),スケジューラが動作しています （最後のcronタスク：%1分（秒）前）
Last cron task is older than %1 minutes.,最後のcronタスクが%1分よりも古いです
Last cron task is older than one hour. Please check your settings and your configuration!,最後のcronタスクは1時間よりも古いですあなたの設定し設定を確認してください！
\120o\x69\x6e\164\163 O\146\40\123\141\154\145\40\57\40\x57\141r\145\150\x6f\165se\x73,\ 120°\ X69 \ x6e \ 164 \ 154 \ 141 \ \ 40 \ 123 146 \ O 163 \ 145 \ 40 \ 57 \ 40 \ X57 \ 141R 150 \ 145 \ x6f \ 165seの\のX73 \
"\103r\145ate\40N\x65w P\157\x69\x6e\x74\x20O\x66 \x53a\x6c\x65 \57\40\127\x61\162\x65\150\157u\163\145""""""",
\105\170\160\157r\164 \x61 \x63sv \x46\151\x6c\145,\ 105 \ 170 \ 160 \ 157R \ 164 \ X61 \ x63sv \ X46 \ 151 \ x6c \ 145
\111\x6d\x70\x6f\162\164 \x61 c\x73\166\x20F\x69\x6c\145,\ 111 \ x6d \ X70 \ x6f \ 162 164 \ \ X61 C \ X73 \ 166 \ x20F \ X69 \ x6c \ 145
Address & Contact,住所・お問い合わせ
Address line 1,住所1
Address line 2,住所2
Postal code,郵便番号（半角数字）
--Please select a state--,state--を選択--Please
State,状態
Main phone,代表電話
Address & Hours,住所＆営業時間
Customer Group Selection,顧客グループの選択
No Customer Group,いいえ顧客グループはありません
Code (internal use),コード（内部使用）
Type of display,ディスプレイのタイプ
Warehouse (not visible on the Gmap/checkout),倉庫（GMAP /チェックアウトには表示されません）
Point of Sales (visible on the Gmap/checkout),販売のポイント（GMAP /チェックアウトに見えます）
Order of display,表示順
Latitude,緯度
Longitude,経度
Find the coordinates with Google Map:,Googleマップでの座標を探します：
Store Views Selection,ストアビューの選択
No Store View,いいえストアビューはありません
Store View,ストアを見ます
Point Of Sale,販売場所
Store view selection,ストアビューの選択
Are you sure you want to delete this pos / warehouse ?,このPOS /倉庫を削除してもよろしいですか？
Monday,月曜
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
Saturday,土曜日
Sunday,日曜日
Get Directions,行き方
Show on Google Map,Googleマップ上に表示します
No store located,位置ませ店はありません
You are here,ここにいる
The nearest store is,最寄りの店があります
No result found.,検索結果はありませんが見つかりました
Unable to find your location,あなたの場所を見つけることができません
Distance calculation failed,距離計算に失敗しました
show my location,私の場所を表示
change my location,私の場所を変更します
Your location,あなたの場所
Find me,私を見つけて
"Enter your location (city, address, zipcode...)",あなたの場所を入力します（都市住所郵便番号...）
Set a new location,新しい場所を設定
Your directions,あなたの方向
Print,印刷
Searching your location,あなたの場所を検索
All our store locations,全てのお店の場所
Select a country,国を選択
All countries,すべての国
%1 has been deleted.,%1は削除されました
We can't find a POS / WH to delete.,削除するPOS / WHを見つけることができません
Manage POS / WH,管理POS / WH
This point of sale / Warehouse no longer exists.,販売/倉庫のこの点は存在しません
Modify POS / WH : ,POS / WHを変更します
New POS /WH,新しいPOS / WH
Wrong file type (,間違ったファイルタイプ（
 places have been imported.,場所はインポートされています
Points Of Sale / Warehouses,販売/倉庫のポイント
The POS has been saved.,POSが保存されました
Unable to save the POS.,POSを保存することができません
Csv File To Import,CSVはインポートするファイル
Select a country :,国を選択：
Web Site,サイト
Item Price,アイテムの価格
and above,以上
Delete Tier,ティアの削除
Payment &amp; Shipping Information,お支払い＆＃038;出荷情報
Order History,ご注文内容
Order Currency:,オーダーの通貨：
Same As Billing Address,請求先住所と同じ
Select from existing customer addresses:,既存の顧客の住所から選択します
Add New Address,新しい住所を追加
Save in address book,アドレス帳に保存
You don\'t need to select a shipping address.,あなたドン\ 'tは配送先住所を選択する必要があります
Row Subtotal,行の小計
No ordered items,いいえ注文した商品はありません
Update Items and Quantities and Addresses,アイテムと数量とアドレスを更新
Update Items and Quantities,アイテムと数量を更新します
Total %1 product(s),合計%1製品（複数可）
Subtotal:,小計：
Tier Pricing,ティア価格
Custom Price,カスタム価格
Move to Shopping Cart,ショッピングカートに移動します
Move to Wish List,ウィッシュリストに入れる
Shipping and Tracking Information,配送とトラッキング情報
Total Shipping Charges,合計配送料
Incl. Tax,税込税金
Items Shipped,商品を発送しました
Shipping and Received Information,出荷し受信した情報
Shipment Total,出荷合計
Shipment History,出荷履歴
As low as,と低いです
Regular Price,通常価格
Ordered,順序付けられました
Refunded,払い戻し
We can\'t find products matching the selection.,tが条件にマッチする製品を見つける」を\することができます
Buy,購入
Add to Wish List,欲しい物のリストに加えます
Add to Compare,比較リストに追加
Learn More,もっと詳しく知る
Related Products,関連製品
We found other products you might like!,バリエーション
Color!,カラー
More Choices:,追加選択：
New Products,新製品
Check items to add to the cart or,カートに追加するアイテムを確認しますか
select all,すべて選択
Variation products,カラー
(Excl. Tax),(税抜)
(Incl. Tax),(税込)
Special Price,特別価格
Buy %1 for: ,%1のために購入
Click for price,価格のためにクリック
Add To Subscription,サブスクリプションに追加
FreeShipping,送料無料
Find Product,製品を探します
Search,サーチ
item,項目
items,件
Product search total %1,製品検索合計の%1
Coupon use,クーポン使用
Cancel coupon code,クーポンコードをキャンセル
Subscription Item,サブスクリプションのアイテム
Continue Shopping,ショッピングを続ける
Clear Shopping Cart,クリアショッピングカート
Update Shopping Cart,ショッピングカートを更新
See price before order confirmation.,注文確認する前に価格を参照してください
What's this?,これは何ですか？
"※ The purchase of the product, the order procedure at the time you press the ""confirm the order"" button will be completed.<br/>At the time of the goods to enter the ""cart"", the stock is not secured. Commodity also had the stock at the time you put in the ""cart"", in the commodity such as the number of stock fewer items and order is concentrated, the number of the case and hope the product is out of stock in the middle of doing a checkout your there are times when you can not buy.","※ The purchase of the product, the order procedure at the time you press the ""confirm the order"" button will be completed.<br/>At the time of the goods to enter the ""cart"", the stock is not secured. Commodity also had the stock at the time you put in the ""cart"", in the commodity such as the number of stock fewer items and order is concentrated, the number of the case and hope the product is out of stock in the middle of doing a checkout your there are times when you can not buy."
My Cart,マイカート
You have no items in your shopping cart.,あなたのショッピングカートに商品はありません
Click here to continue shopping.,ショッピングを続けるにはここをクリックしてください
Cart,カート
Designation of the addresses,アドレスの指定
Review & Payments,お届け先とお支払い方法の選択
Confirmation of your order,ご注文内容の確認
Order Complete,注文完了
Default Addresses,デフォルトのアドレス
Change Billing Address,変更請求先住所
You have no default billing address in your address book.,あなたのアドレス帳にはデフォルトの請求先住所を有していません
Change Shipping Address,配送先を変更する
Delivery history,配信履歴
You have no default shipping address in your address book.,あなたのアドレス帳にはデフォルトの配送先住所を有していません
Additional Address Entries,追加のアドレスエントリ
Delete Address,住所を削除
You have no other address entries in your address book.,あなたのアドレス帳内の他のアドレスエントリを持っていません
My page of %s,%sのマイページ
Nescafe Ambassador TOP,ネスカフェアンバサダーTOPに戻る
Wellness Ambassador TOP,ウェルネス アンバサダー TOPに戻る
Last name katakana,姓カタカナ
First name katakana,最初の名前のカタカナ
Do you have any gift items in your order?,あなたの順序で任意のギフト商品をお持ちですか？
Add gift options,ギフトオプションを追加します
Gift Options for the Entire Order,注文全体のためのギフトオプション
Leave this box blank if you don\'t want to leave a gift message for the entire order.,ドン\ 'tは全体の注文のギフトのメッセージを残しておきたい場合はこのボックスを空白のままに
Gift Options for Individual Items,個々の項目のギフトオプション
Leave a box blank if you don\'t want to add a gift message for that item.,ドン\ 'tはその項目のギフトメッセージを追加したい場合はこのボックスを空白のままにします
Add Gift Options for the Entire Order,注文全体のためにギフトオプションを追加します
You can leave this box blank if you don\'t want to add a gift message for this address.,ドン\ 'tはこのアドレスのギフトメッセージを追加したい場合はこのボックスを空白のままにすることができます
Add gift options for Individual Items,個々の項目のためのギフトオプションを追加します
You can leave this box blank if you don\'t want to add a gift message for the item.,ドン\ 'tはアイテムのギフトメッセージを追加したい場合はこのボックスを空白のままにすることができます
Order number:,注文番号：
Print Order,印刷順序
Name(em),名前（全角）
Nickname,ニックネーム
Representative name,代表名
Recent Orders,最近の注文
View All,全てを見ます
%1 Item,%1件
%1 Items,%1件
%1 Item(s),%1件
Page,ページ
First,最初
Previous,前
You\'re currently reading page,現在のページを読んで再\します '
Next,次
Last,最終
Show,ショー
per page,1ページあたり
Allowed Scopes,可スコープ
You need more permissions to delete this item(s): %1.,%1：このアイテム（複数可）を削除するにはより多くの権限が必要です
You need more permissions to apply some of the rule updates.,ルールのアップ日の一部を適用するにはより多くの権限が必要です
Please assign this entity to a store view.,ストアビューにこのエンティティを割り当ててください
You can create orders only in an active store.,唯一のアクティブストアにオーダーを作成することができます
Please assign this item to a store view.,ストアビューにこのアイテムを割り当ててください
You need more permissions to save this item.,このアイテムを保存するためにより多くの権限が必要です
You need more permissions to delete this item.,この項目を削除するにはより多くの権限が必要です
You need more permissions to view this item.,このアイテムを表示するにはより多くの権限が必要です
Please specify at least one website or one store group.,少なくとも1つのウェブサイトまたは1つのストア・グループを指定してください
You need more permissions to set All Scopes to a Role.,役割にすべてのスコープを設定するにはより多くの権限が必要です
Incorrect website ID: %1,不正なWebサイトのID：%1
"You need more permissions to access website ""%1"".",ウェブサイトにアクセスするには「%1」をより多くの権限が必要です
Incorrect store ID: %1,不正なストアID：%1
You need more permissions to save this setting.,この設定を保存するにはより多くの権限が必要です
Role Scopes,役割スコープ
Custom,カスタム
Read Details,詳細を読みます
Mark as Read,既読にする
Messages Inbox,メッセージ受信トレイ
You have %1 new system messages,%1新しいシステムメッセージを持っています
You have %1 new system message,%1新しいシステムメッセージを持っています
Incoming Message,受信メッセージ
Notifications,お知らせ
The message has been marked as Read.,メッセージには読むとしてマークされています
We couldn't mark the notification as Read because of an error.,読むとしてエラーが発生したため通知をマークすることができませんでした
Please select messages.,メッセージを選択してください
A total of %1 record(s) have been marked as Read.,%1のレコード（複数可）の合計は読み取りとしてマークされています
Total of %1 record(s) have been removed.,%1のレコード（複数可）の合計が削除されました
We couldn't remove the messages because of an error.,エラーのためにメッセージを削除することができませんでした
The message has been removed.,メッセージは削除されました
1 Hour,1時間
2 Hours,2時間
6 Hours,6時間
12 Hours,12時間
24 Hours,24時間
critical,クリティカル
major,主要な
minor,マイナー
notice,通知
Wrong message type,間違ったメッセージタイプ
Wrong notification ID specified.,間違った通知IDを指定しました
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{BASE_URLは}}ベース非セキュアURL /ベースセキュアURLを宣言するために本番環境で使用することは推奨されません非常にあなたのMagentoの<a href=""%1"">構成する</a>にこの値を変更することをお勧めします"
One or more of the Cache Types are invalidated: %1. ,キャッシュ・タイプのうちの1つ以上は無効化されます：%1
We were unable to synchronize one or more media files. Please refer to the log file for details.,1つ以上のメディアファイルを同期させることができませんでした詳細についてはログファイルを参照してください
Synchronization of media storages has been completed.,メディアストレージの同期が完了しています
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,Webサーバーが正しくセットアップされ機密ファイルへの不正なアクセスを可能にしますホスティングプロバイダにお問い合わせください
Close popup,ポップアップを閉じます
System Messages:,システムメッセージ：
Critical System Messages,クリティカルシステムメッセージ
Major System Messages,主なシステム・メッセージ
System messages,システムメッセージ
See All (,すべてを見る （
 unread),未読）
Manage Shopping Cart,ショッピングカートを管理します
Create Order,注文を作成します
Add Products,製品を追加
Are you sure you want to clear your cart?,あなたのカートをクリアにしてもよろしいですか？
Clear my shopping cart,私のショッピングカートをクリア
Add selections to my cart,私のカートに選択を追加
Shopping Cart for %1 in %2,%2%1のためのショッピングカート
Select products you want to buy,購入したい製品を選択
Products in the Comparison List (%1),比較リストの製品（%1）
Last ordered items (%1),最終注文した商品（%1）
Products,プロダクト
Recently Compared Products (%1),最近比較して製品（%1）
Recently Viewed Products (%1),最近見た商品（%1）
Add to Shopping Cart by SKU,SKUによってショッピングカートに入れます
Add to Shopping Cart,ショッピングカートに追加します
Wish List (%1),ウィッシュリスト（%1）
Add to Order by SKU,SKUによってオーダーに追加
Add to Order,注文に追加
Add Products to Order,オーダー製品を追加
Remove All,すべて削除する
Only %1%2%3 left in stock,唯一の%1%2%3点在庫あり
You can buy up to %1 of these per purchase.,購入ごとにこれらの%1まで購入することができます
You must buy at least %1 of these per purchase.,購入ごとにこれらの少なくとも%1を購入する必要があります
Specify the product's options.,製品のオプションを指定します
Alert me when this item is available.,このアイテムが使用可能な場合に通知します
We can\'t find this customer.,tがこの顧客を見つける」を\することができます
Shopping cart management is disabled for this customer.,ショッピングカートの管理はこの顧客のために無効になっています
We can\'t find this store.,tがこの店を見つける」を\することができます
Customers,お客様
Shopping Cart,カート
"Sorry, something went wrong. You can find out more in the error log.",申し訳ありませんが何かが間違っていましたエラーログの詳細を見つけることができます
You do not have access to this.,これにアクセスすることはできません
Ordered item id is not received.,注文された商品IDが受信されません
Ordered item is not loaded.,注文したアイテムがロードされていません
Quote item id is not received.,引用項目IDが受信されません
Quote item is not loaded.,引用項目がロードされていません
The wish list item id is not received.,ウィッシュリストアイテムIDが受信されません
The wish list item is not loaded.,ウィッシュリスト項目がロードされていません
An error has occurred. See error log for details.,エラーが発生しました詳細についてはエラーログを参照してください
You cannot configure a product.,製品を構成することはできません
You removed the items.,アイテムを削除しました
You removed the item.,アイテムを削除しました
You cannot add a product.,製品を追加することはできません
Order by SKU,SKU順
SKU not found in catalog.,SKUカタログに見つかりません
Availability: Out of stock.,可用性：在庫切れ
We don\'t have as many of these as you want.,我々ドン\ 'tは望むようにこれらの多くを持っています
You can\'t add this many to your cart., 'tはショッピングカートにこの多くを追加する\ことができます
You need to choose options for your item.,あなたのアイテムのオプションを選択する必要があります
We can\'t add the item to your cart., 'tはあなたのカートにアイテムを追加\することができます
"Please enter an actual number in the ""Qty"" field.",「数量」フィールドに実際の数を入力してください
This product is assigned to another website.,この製品は別のウェブサイトに割り当てられています
You can add only enabled products.,あなただけの対応製品を追加することができます
You cannot upload this file.,このファイルをアップロードすることはできません
The file is empty.,ファイルは空です
You have not entered a product SKU.,製品SKUが入力されていません
"We can\'t add a product to cart by id ""%1""."," 'tはIDが ""%1""によりカートに製品を追加する\ことができます"
Something went wrong while reordering this product.,この製品を並べ替え中に問題が発生しました
We can\'t find this wish list.,tがこのウィッシュリストを見つける」を\することができます
You added %1 product to your shopping cart.,あなたのショッピングカートに%1製品を追加しました
You added %1 products to your shopping cart.,あなたのショッピングカートに%1製品を追加しました
%1 product requires your attention.,%1の製品はあなたの注意が必要です
%1 products require your attention.,%1の製品はあなたの注意が必要です
"Yes, for Specified Customer Groups",はい特定の顧客グループのために
"Yes, for Everyone",はいみんなのために
The file is corrupt.,ファイルが壊れています
This file needs to be in .csv format.,このファイルは.csv形式であることが必要です
%1 item(s) need your attention.,%1項目を（s）あなたの注意が必要です
No item specified.,いいえ項目が指定されていません
Are you sure you want to remove this item?,この項目を削除してもよろしいですか？
SKU number,SKU番号
Upload File,ファイルをアップロードする
"Your csv file must include ""sku"" and ""qty"" columns.",CSVファイルは「SKU」と「数量」列を含める必要があります
SKU: ,SKU：
Edit item parameters,編集項目のパラメータ
Products Requiring Attention,注意が必要な製品
File,ファイル
File extensions allowed: .csv,許可されたファイル拡張子：.CSV
Add Row,行の追加
Remove Row,行の削除
Please correct the data sent.,送信されたデータを修正してください
Entity type model \'%1\' is not found,エンティティタイプモデル\ '%1 \'が見つかりません
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,エンティティタイプのモデルが\ Magentoの\ CatalogImportExport \モデル\エクスポート\製品\タイプ\ AbstractTypeのインスタンスである必要があります
There are no product types available for export,エクスポートのために利用可能な製品の種類はありません
Related Search Terms,関連検索条件
Add New Search Term,新しい検索用語を追加
We can\'t find the role for the user you wanted.,tは望んでいたユーザーの役割を見つける」を\することができます
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,許可されたリソースのリストをコンパイル中に問題が発生しました例外ログにより見つけることができます
You created the order.,順序を作成しました
Order saving error: %1,注文の保存エラー：%1
Please choose a payment method.,お支払い方法を選択してください
We can\'t process your order right now. Please try again later., 'tは今あなたの注文を処理\ことができます後ほどおかけ直しください
Credit Card: xxxx-%1,クレジットカード：xxxx-%1
amount %1,量%1
failed.,失敗しました
successful.,成功しました
Authorize.Net Transaction ID %1.,Authorize.NetトランザクションID%1
authorize,オーソライズ
authorize and capture,認可とキャプチャ
capture,キャプチャー
void,ボイド
Gateway error: %1,ゲートウェイエラー：%1
Something went wrong in the payment gateway.,何かが支払いゲートウェイに間違っていました
Invalid amount for capture.,キャプチャの無効な量
Payment capturing error.,エラーをキャプチャ支払い
Invalid transaction ID.,無効なトランザクションID
Payment voiding error.,エラーが無効にお支払いします
Invalid amount for refund.,払い戻しのための無効な量
Payment refunding error.,支払借り換えエラー
The transaction was declined because the response hash validation failed.,応答ハッシュ検証が失敗したため取引が拒否されました
This payment didn\'t work out because we can\'t find this order.,この支払いはこの順序を見つけるトンを私たちが\ことができるのでtはうまく '\なかったの
There was a payment authorization error.,支払い承認エラーが発生しました
Please enter a transaction ID to authorize this payment.,この支払いを承認するためにトランザクションIDを入力してください
Something went wrong: the paid amount doesn\'t match the order amount. Please correct this and try again.,何かが間違っていた：支払った金額はdoesnの\ 'トン注文金額と一致しますこれを修正してもう一度お試しください
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.",トランザクション%1は減少しました/排泄されていますトランザクションの状態は「%2」です量は%3
Authorize Only,のみ許可します
Unable to get transaction details. Try again later.,取引の詳細を取得できませんあとでもう一度試してみてください
Credit Card Type,クレジットカードの種類
Credit Card Number,クレジットカード番号
Card Verification Number,カード確認番号
Fraud Detection ,不正検出
FDS Filter Action,FDSのフィルタ操作
AVS Response,AVSレスポンス
Card Code Response,カードコードレスポンス
CAVV Response,CAVVレスポンス
Fraud Filters,詐欺フィルタ
Invalid Form Key. Please refresh the page.,無効なフォームのキーページを更新してください
You entered an invalid Secret Key. Please refresh the page.,無効な秘密鍵を入力しましたページを更新してください
Cache Storage Management,キャッシュストレージ管理
Flush Magento Cache,フラッシュMagentoのキャッシュ
The cache storage may contain additional data. Are you sure that you want to flush it?,キャッシュ記憶装置は追加のデータを含むことができますそれをフラッシュしますか？
Flush Cache Storage,キャッシュのフラッシュストレージ
Invalidated,無効化
Amounts,金額
Bestsellers,ベストセラー
Most Viewed Products,ほとんど見た商品
New Customers,新規のお客様
Guest,ゲスト
Total,合計
Average Order,平均注文
Average,平均
Views,ビュー
Revenue,収入
Shipping,運送
"Images (.gif, .jpg, .png)",画像（のは.gif.jpg.png）
"Media (.avi, .flv, .swf)",メディア（.AVI.FLV.swfファイル）
All Files,すべてのファイル
Reset to Default,デフォルトにリセット
All Store Views,すべてのストアビュー
What is this?,これは何ですか？
Save Account,アカウントを保存
My Account,マイページ
User Name,ユーザー名
User Email,ユーザーのメール
Password Confirmation,パスワードの確認
Interface Locale,インターフェイスロケール
Current User Identity Verification,現在のユーザー識別情報の検証
Your Password,あなたのパスワード
